SELECTION,VALUE,PROBABLITY
[1 0 0 1 0],-0.0023186063228441967,1.0
[1 1 1 1 1],9.063860759073656,0.0
[0 1 1 1 1],4.027572734642501,0.0
[1 0 0 0 0],1.0061667755481347,0.0
[0 1 0 0 0],1.0068925551479766,0.0
[1 1 0 0 0],-0.0014313382659105756,0.0
[0 0 1 0 0],1.0063753285256303,0.0
[1 0 1 0 0],-0.0019595182185172533,0.0
[0 1 1 0 0],-0.0012466741247703084,0.0
[1 1 1 0 0],1.0053136876550042,0.0
[0 0 0 1 0],1.0059897819281722,0.0
[0 1 0 1 0],-0.0015970285513215998,0.0
[1 1 0 1 0],1.0049897917215844,0.0
[0 0 1 1 0],-0.002114287078114785,0.0
[1 0 1 1 0],1.0044615798645307,0.0
[0 1 1 1 0],1.0051702221299585,0.0
[1 1 1 1 0],4.026641297596527,0.0
[0 0 0 0 1],1.0072899379355071,0.0
[1 0 0 0 1],-0.001112215037715636,0.0
[0 1 0 0 1],-0.0003461256191457096,0.0
[1 1 0 0 1],1.0061469299315533,0.0
[0 0 1 0 1],-0.000906358125045692,0.0
[1 0 1 0 1],1.0055757440953919,0.0
[0 1 1 0 1],1.0063288980078688,0.0
[1 1 1 0 1],4.027706208752228,0.0
[0 0 0 1 1],-0.0012792172423576886,0.0
[1 0 0 1 1],1.0052293434712123,0.0
[0 1 0 1 1],1.0059912310614614,0.0
[1 1 0 1 1],4.027395000298956,0.0
[0 0 1 1 1],1.0054309666511134,0.0
[1 0 1 1 1],4.0268237825583455,0.0
[0 0 0 0 0],4.029385877485943,0.0
